dataset,sentenceid,sentence,category,sub_cat,polarity,aspect_term
14_laptop_train,3,It's so nice to look at and the keys are easy to type with.,,,positive,keys
14_laptop_train,2753,Best thing is I can use existing 32 bit old programs.,,,positive,programs
14_laptop_train,171,The battery gets so HOT it is scary.,,,negative,battery
14_laptop_train,614,"-When battery life went to 4 hours or less, took it to the MacHouse Amsterdam for repair (26th of August).",,,negative,battery life
14_laptop_train,2596,This system came loaded with Windows 7 Starter.,,,neutral,Windows 7 Starter
14_laptop_train,2292,The ease of use is wonderful.,,,positive,use
14_laptop_train,1610,My macbook is so much better looking and so thin!,,,positive,looking
14_laptop_train,3,It's so nice to look at and the keys are easy to type with.,,,positive,look
14_laptop_train,2368,He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,,,positive,use
14_laptop_train,2233,"u can do what u want in just few seconds, even to start up your computer takes few seconds.",,,positive,start up
14_laptop_train,1613,"Also, macbooks come with much more features which are so cool!",,,positive,features
14_laptop_train,2819,"Aside from the trial software and the short battery life, lack of a webcam, its great.",,,negative,webcam
14_laptop_train,2819,"Aside from the trial software and the short battery life, lack of a webcam, its great.",,,negative,battery life
14_laptop_train,2819,"Aside from the trial software and the short battery life, lack of a webcam, its great.",,,negative,trial software
14_laptop_train,2211,The graphics on this computer are also stellar - very clear and vivid.,,,positive,graphics
14_laptop_train,2966,The only downfall is the battery only last 1.5-2.0 hrs when not plugged in.,,,negative,battery
14_laptop_train,102,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",,,positive,features
14_laptop_train,102,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",,,positive,screen
14_laptop_train,102,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",,,positive,web cam
14_laptop_train,102,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",,,positive,hard drive
14_laptop_train,102,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",,,positive,memory
14_laptop_train,102,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",,,positive,processor
14_laptop_train,1432,"I am constantly trying to uninstall programs, clean cookies, and delete unused files.",,,neutral,programs
14_laptop_train,2306,overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.,,,neutral,video games
14_laptop_train,2306,overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.,,,neutral,cd drive
14_laptop_train,2563,Getting the Apple Care plan is a must.,,,positive,Apple Care plan
14_laptop_train,2353,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,,,positive,proprietary software
14_laptop_train,510,They sent out a Sony 'Certified' technician.,,,neutral,Sony 'Certified' technician
14_laptop_train,1351,I think that if it is the motherboard again so soon that they should replace it.,,,negative,motherboard
14_laptop_train,1909,  They replaced my hard drive as well as my mother board.,,,neutral,mother board
14_laptop_train,1909,  They replaced my hard drive as well as my mother board.,,,neutral,hard drive
14_laptop_train,3082,This is not a serious gaming laptop or a serious media machine;,,,negative,gaming
14_laptop_train,2978,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,,,neutral,usb port wires
14_laptop_train,2978,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,,,negative,plastic piece
14_laptop_train,1942,"The computer continued to give me issues and in Late June it completely died again and I tried to call Acer again to get it fixed and they refused to help me, they said my warrenty was up and hung up on me.",,,negative,warrenty
14_laptop_train,1430,"I am not much of a computer techie, so I can understand some of the internal problems, though I do have trend micro as an antiviral program.",,,neutral,antiviral program
14_laptop_train,1430,"I am not much of a computer techie, so I can understand some of the internal problems, though I do have trend micro as an antiviral program.",,,neutral,trend micro
14_laptop_train,1050,"*=Webcam is a bit laggy, not the greatest.",,,negative,Webcam
14_laptop_train,1599,"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.",,,negative,heat sink
14_laptop_train,2288,Wonderful sleek case design is only on the outside.,,,positive,case design
14_laptop_train,1599,"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.",,,negative,design
14_laptop_train,109,Then it ceased charging at all.,,,negative,charging
14_laptop_train,1206,"But to be honest, the compatibility issues and the other little quirks make me think I ll buy a PC next time.",,,negative,compatibility
14_laptop_train,2949,It discharges too quickly.,,,negative,discharges
14_laptop_train,1440,"My last computer, a Toshiba, cost only $400, and worked like a charm for many years.",,,positive,cost
14_laptop_train,1952,I had read online that some users were having sound problems.,,,negative,sound
14_laptop_train,1885,"If internet connectivity is important I would recommend going with a dell net book for 50 bucks more, or buy a USB wireless card.",,,neutral,USB wireless card
14_laptop_train,1885,"If internet connectivity is important I would recommend going with a dell net book for 50 bucks more, or buy a USB wireless card.",,,neutral,internet connectivity
14_laptop_train,1599,"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.",,,neutral,stand
14_laptop_train,2702,It is speedy when connected wirelessly to any network regardless if the connection is weak or not.,,,neutral,connection
14_laptop_train,3036,The pricing is very competitive.,,,positive,pricing
14_laptop_train,209,Connecting to my wireless router via built-in wireless took no time at all.,,,positive,built-in wireless
14_laptop_train,237,"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",,,positive,Itunes
14_laptop_train,237,"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",,,positive,IWORKS
14_laptop_train,3077,For those that care about noise this thing doesn't really make any;,,,positive,noise
14_laptop_train,2839,the mouse jumps around all the time and it clicks stuff i dont want it too.,,,negative,mouse
14_laptop_train,2359,"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.",,,positive,keyboard
14_laptop_train,2359,"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.",,,positive,screen
14_laptop_train,1436,"I have Vista, so I am unable to install and uninstall  some programs.",,,negative,uninstall 
14_laptop_train,1436,"I have Vista, so I am unable to install and uninstall  some programs.",,,negative,install
14_laptop_train,1436,"I have Vista, so I am unable to install and uninstall  some programs.",,,negative,programs
14_laptop_train,1436,"I have Vista, so I am unable to install and uninstall  some programs.",,,negative,Vista
14_laptop_train,333,"It's graphics aren't bad at all, for the lower end of the MacBook Pro spectrum, easily capable of running StarCraft II and other games with comparable graphics.",,,neutral,graphics
14_laptop_train,333,"It's graphics aren't bad at all, for the lower end of the MacBook Pro spectrum, easily capable of running StarCraft II and other games with comparable graphics.",,,positive,graphics
14_laptop_train,2021,This wiped out several programs that were installed on the computer when it was bought.,,,negative,programs
14_laptop_train,1190,"Maybe this is virus related, maybe not, but the computer has locked up many times, and on two occasions, the screen has simply gone black.",,,negative,screen
14_laptop_train,301,I have not had a problem with the applications quitting or freezing.,,,positive,applications
14_laptop_train,2157,This computer is exceptionally thin for it's screen size and processing power.,,,positive,processing power
14_laptop_train,2157,This computer is exceptionally thin for it's screen size and processing power.,,,positive,screen size
14_laptop_train,2765,I finally decided on this laptop because it was the right price for what I need it.,,,positive,price
14_laptop_train,237,"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",,,positive,MS Office
14_laptop_train,246,Very fast boot up and shut down.,,,positive,shut down
14_laptop_train,2994,The only downfall is the volume control.,,,negative,volume control
14_laptop_train,745,"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",,,negative,booting
14_laptop_train,745,"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",,,negative,software
14_laptop_train,2988,It's a great product for a great price!,,,positive,price
14_laptop_train,2654,Other than that its a great performing machine and well meets all my needs and more.,,,positive,performing
14_laptop_train,2250,iPhotos is an excellent program for storing and organizing photos.,,,positive,program
14_laptop_train,2250,iPhotos is an excellent program for storing and organizing photos.,,,positive,iPhotos
14_laptop_train,1531,"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",,,positive,programs
14_laptop_train,41,"Also, the space bar makes a noisy click every time you use it.",,,negative,space bar
14_laptop_train,1138,"Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.",,,negative,customer services
14_laptop_train,2015,It had some kind of pre installed software update that completely shut the computer down when you clicked it.,,,negative,pre installed software update
14_laptop_train,496,"Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.",,,negative,pixel sizes
14_laptop_train,496,"Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.",,,negative,screen size
14_laptop_train,496,"Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.",,,negative,Setting
14_laptop_train,938,"  Now, as easy as it is to use, and I do think it is a great STARTER laptop.",,,positive,use
14_laptop_train,2132,The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.,,,neutral,keyboard
14_laptop_train,1138,"Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.",,,negative,toshiba customer services
14_laptop_train,1531,"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",,,positive,iphoto
14_laptop_train,1531,"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",,,positive,imail
14_laptop_train,1531,"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",,,positive,imovie
14_laptop_train,2117,"When you look at the specs on Apple products in comparison to a Dell or a HP, yes they do seem to offer less for a higher cost.",,,negative,cost
14_laptop_train,984,This just keeps having it's hard drive replaced!,,,negative,hard drive
14_laptop_train,2426,I personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers.,,,positive,gaming performance
14_laptop_train,2426,I personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers.,,,positive,gaming look
14_laptop_train,408,I'v spent as much for shipping as I would to buy a new netbook -- of course a different brand.,,,negative,shipping
14_laptop_train,19,Everything from the design to the OS is simple and to the point.,,,positive,OS
14_laptop_train,19,Everything from the design to the OS is simple and to the point.,,,positive,design
14_laptop_train,310,I also like that you can scroll down in a window using two fingers on the trackpad.,,,positive,trackpad
14_laptop_train,2709,Keys stick periodically and I havent had the laptop for 45 days yet.,,,negative,Keys
14_laptop_train,3044,"So, the hard disk capacity really doesn't matter to me.",,,neutral,hard disk capacity
14_laptop_train,2305,the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have.,,,negative,cd drive
14_laptop_train,144,I thought the price was great for the specs.,,,positive,specs
14_laptop_train,144,I thought the price was great for the specs.,,,positive,price
14_laptop_train,1015,The Computer itself is a good product but the repair depot stinks.,,,negative,repair depot
14_laptop_train,2738,Comfterbale to use light easy to transport.,,,positive,transport
14_laptop_train,2738,Comfterbale to use light easy to transport.,,,positive,use
14_laptop_train,2768,"The only thing I didn't learn in my research was the software I would need like privacy protection and warranty protection, in case it gets broken, or crashes etc.",,,neutral,software
14_laptop_train,246,Very fast boot up and shut down.,,,positive,boot up
14_laptop_train,219,The macbooks are small enough to be very portable yet hold tons of information and performance.,,,positive,performance
14_laptop_train,2532,The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,,,negative,iWork
14_laptop_train,2532,The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,,,negative,software
14_laptop_train,2611,"Apple is always great about the aesthetics of things, they always come up with good looking products.",,,positive,aesthetics
14_laptop_train,2349,The LED backlit display makes my pictures pop so much more.,,,positive,LED backlit display
14_laptop_train,191,3) Horrible customer support,,,negative,customer support
14_laptop_train,275,"It is short on space, and downloads always had problems being completed, or were said to be 'corrupted'.",,,negative,downloads
14_laptop_train,275,"It is short on space, and downloads always had problems being completed, or were said to be 'corrupted'.",,,negative,space
14_laptop_train,1911,  However the frozen screens kept happening.,,,negative,screens
14_laptop_train,1236,When it come time for warranty service to Toshiba you don't matter.,,,neutral,warranty service to Toshiba
14_laptop_train,2940,Runs smooth and quick.,,,positive,Runs
14_laptop_train,1587,It is in the best condition and has a really high quality.,,,positive,quality
14_laptop_train,1545,"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).",,,positive,portability
14_laptop_train,1494,"I made a photo book as a gift, on my computer, pushed ""Buy"" and it drew from my iTunes account and sent the book to my house, the book was of perfect quality-exactly how I had created it and looked better than I had even imagined.",,,neutral,iTunes
14_laptop_train,161,"For the same price, you get a lot more in the Asus....1920x1080 res.",,,negative,price
14_laptop_train,2791,"Most everything is fine with this machine: speed, capacity, build.",,,positive,build
14_laptop_train,2791,"Most everything is fine with this machine: speed, capacity, build.",,,positive,capacity
14_laptop_train,2791,"Most everything is fine with this machine: speed, capacity, build.",,,positive,speed
14_laptop_train,2727,Tried to make a recovey disk wouldnt get passed the first recovery disk.,,,negative,recovery disk
14_laptop_train,1545,"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).",,,positive,battery life
14_laptop_train,2577,The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.,,,neutral,screen size
14_laptop_train,2577,The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.,,,neutral,battery life
14_laptop_train,2933,The graphics are great.,,,positive,graphics
14_laptop_train,1638,The battery life is great.,,,positive,battery life
14_laptop_train,2487,"It is fast booting up , shutting down, and connection with the internet.",,,positive,shutting down
14_laptop_train,2487,"It is fast booting up , shutting down, and connection with the internet.",,,positive,booting up
14_laptop_train,2487,"It is fast booting up , shutting down, and connection with the internet.",,,positive,connection with the internet
14_laptop_train,2463,It works exactly like it did the day I took it out of the box.,,,positive,works
14_laptop_train,61,What I'd like is for the laptop to run well without having to purchase additional memory.,,,neutral,run
14_laptop_train,61,What I'd like is for the laptop to run well without having to purchase additional memory.,,,negative,memory
14_laptop_train,986,the manufacturer's warranty only covers replacement/repair of parts.,,,negative,warranty
14_laptop_train,12,For the [$] price (special offer) this is a great laptop.,,,positive,price
14_laptop_train,2807,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",,,negative,mic
14_laptop_train,2807,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",,,negative,headphones
14_laptop_train,2807,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",,,negative,touch-pad
14_laptop_train,2807,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",,,neutral,touch-pad
14_laptop_train,2807,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",,,negative,mic jack
14_laptop_train,2807,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",,,negative,headphone
14_laptop_train,2494,"The big screen allows you to enjoy watching movies , pictures and etc!",,,positive,screen
14_laptop_train,1208,in 5 months the connect quality got worse and worse.,,,negative,connect quality
14_laptop_train,2727,Tried to make a recovey disk wouldnt get passed the first recovery disk.,,,negative,recovey disk
14_laptop_train,973,"With what I do know how to do, the computer works beautiful.",,,positive,works
14_laptop_train,3079,I took off a star because the machine has a lot of junk software on it.,,,negative,software
14_laptop_train,1330,This is what I call a good after sales service.,,,positive,after sales service
14_laptop_train,1454,  since then i have had minor problems with slow operation.,,,negative,operation
14_laptop_train,60,"Whenever I call Dell about an unrelated problem, they ask me if my laptop is running slowly and if I'd like to purchase more memory for $75.",,,neutral,memory
14_laptop_train,2100,"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.",,,neutral,bootcamp
14_laptop_train,2100,"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.",,,neutral,cad programs
14_laptop_train,2100,"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.",,,neutral,programs
14_laptop_train,2100,"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.",,,neutral,windows
14_laptop_train,1174,") I also purchased  Applecare  for $300, which is a three year extended warranty, since I ve never seen any laptop that lasted more than two.",,,neutral,extended warranty
14_laptop_train,1174,") I also purchased  Applecare  for $300, which is a three year extended warranty, since I ve never seen any laptop that lasted more than two.",,,neutral,Applecare
14_laptop_train,1120,"I hope to edit this in the next few hours, I am going to try to install my own copy of Windows 7.",,,neutral,Windows 7
14_laptop_train,888,The mousepad is a huge pain in the arse!,,,negative,mousepad
14_laptop_train,2497,BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,,,neutral,Windows
14_laptop_train,2497,BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,,,neutral,Boot Camp
14_laptop_train,2497,BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,,,neutral,OS X
14_laptop_train,2497,BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,,,neutral,application
14_laptop_train,1993,"Whenever tried to turn it on, it would restart as soon as the BIOS launched Windows (or Winblows, as I like ot call it).",,,negative,Windows
14_laptop_train,1993,"Whenever tried to turn it on, it would restart as soon as the BIOS launched Windows (or Winblows, as I like ot call it).",,,negative,BIOS
14_laptop_train,2532,The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,,,negative,price
14_laptop_train,2705,Registration/1st use is easy.,,,positive,use
14_laptop_train,244,"If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.",,,negative,drivers
14_laptop_train,1177,Take your time and go through the tutorials patiently.,,,neutral,tutorials
14_laptop_train,961,  This time the mouse pad and right click key wouldn't work!,,,negative,right click key
14_laptop_train,792,The letter A stopped working after the first week.,,,negative,letter A
14_laptop_train,101,I got assurances from 2 different people that the remaining 10 months of my warranty would transfer to the new computer.,,,positive,warranty
14_laptop_train,1887,"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative.",,,negative,USB ports
14_laptop_train,1887,"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative.",,,negative,buttons
14_laptop_train,1887,"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative.",,,negative,speaker grill
14_laptop_train,1887,"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative.",,,negative,keyboard
14_laptop_train,1767,Its white color is stylish for college students and easy to take to carry and take to classes.,,,positive,color
14_laptop_train,1128,Keyboard could use some trimming.,,,negative,Keyboard
14_laptop_train,1843,  I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat.,,,neutral,online chat
14_laptop_train,1843,  I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat.,,,negative,tech support
14_laptop_train,2976,They only stay charged a little over an hour.,,,negative,charged
14_laptop_train,2853,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,,,negative,techs
14_laptop_train,2853,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,,,negative,Toshiba tech support
14_laptop_train,2539,"i am a huge computer person i love anykind of computer that works well, but when i got this one i was so happy with the way it works and how it runs its amazing.",,,positive,runs
14_laptop_train,2336,"I bought a cordless mouse for it, but don't always take it out;",,,positive,cordless mouse
14_laptop_train,3026,The first full charge of this battery got me only about 2 full hours.,,,negative,full charge
14_laptop_train,3026,The first full charge of this battery got me only about 2 full hours.,,,negative,battery
14_laptop_train,961,  This time the mouse pad and right click key wouldn't work!,,,negative,mouse pad
14_laptop_train,2049,It does not keep internet signals no matter where you bring it.,,,negative,internet signals
14_laptop_train,1089,"Well I spilled something on it and they replaced it with this model, which gets hot and the battery doesn't make it through 1 DVD.",,,negative,battery
14_laptop_train,2787,"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",,,positive,use
14_laptop_train,2124,Mostly I love the drag and drop feature.,,,positive,drag and drop feature
14_laptop_train,2886,"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",,,positive,works
14_laptop_train,2886,"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",,,positive,ethernet
14_laptop_train,1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,,,negative,power supply
14_laptop_train,1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,,,negative,warrenty
14_laptop_train,1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,,,negative,connector
14_laptop_train,260,"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",,,negative,webcam
14_laptop_train,1417,  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,,,negative,board
14_laptop_train,1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",,,negative,mic
14_laptop_train,1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",,,negative,cam
14_laptop_train,1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",,,negative,built-in mic
14_laptop_train,1937,"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",,,negative,built-in webcam
14_laptop_train,3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",,,negative,graphics card
14_laptop_train,3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",,,negative,cooling system
14_laptop_train,3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",,,negative,appearance
14_laptop_train,104,Is this partially due to the fact that it is running Windows Vista?,,,neutral,Windows Vista
14_laptop_train,1172,"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.",,,positive,sales tax
14_laptop_train,2221,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",,,positive,software packages
14_laptop_train,2221,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",,,positive,iWork
14_laptop_train,2708,The start menu is not the easiest thing to navigate due to the stacking.,,,negative,start menu
14_laptop_train,1852,  After that the said it was under warranty.,,,neutral,warranty
14_laptop_train,13,The AMD Turin processor seems to always perform so much better than Intel.,,,negative,Intel
14_laptop_train,13,The AMD Turin processor seems to always perform so much better than Intel.,,,positive,AMD Turin processor
14_laptop_train,311,"The display is incredibly bright, much brighter than my PowerBook and very crisp.",,,positive,display
14_laptop_train,942,  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).,,,negative,manuf
14_laptop_train,2578,Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,,,negative,software
14_laptop_train,2578,Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,,,negative,base installation
14_laptop_train,1742,"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",,,neutral,external monitor
14_laptop_train,1742,"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",,,negative,Size
14_laptop_train,2605,"The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.",,,positive,iTunes
14_laptop_train,1357,"After a little more than a year of owning my MacBook Pro, the monitor has completely died.",,,negative,monitor
14_laptop_train,386,The screen is very large and crystal clear with amazing colors and resolution.,,,positive,resolution
14_laptop_train,386,The screen is very large and crystal clear with amazing colors and resolution.,,,positive,colors
14_laptop_train,386,The screen is very large and crystal clear with amazing colors and resolution.,,,positive,screen
14_laptop_train,2221,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",,,positive,iMovie
14_laptop_train,2221,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",,,positive,GarageBand
14_laptop_train,3058,"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",,,negative,Resolution
14_laptop_train,2708,The start menu is not the easiest thing to navigate due to the stacking.,,,negative,navigate
14_laptop_train,1654,"It's applications are terrific, including the replacements for Microsoft office.",,,positive,Microsoft office
14_laptop_train,2385,I've been impressed with the battery life and the performance for such a small amount of memory.,,,negative,memory
14_laptop_train,2776,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,,,neutral,screen
14_laptop_train,2776,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,,,positive,vga port
14_laptop_train,2941,"I wish it had a webcam though, then it would be perfect!",,,negative,webcam
14_laptop_train,3006,lots of preloaded software.,,,positive,preloaded software
14_laptop_train,823,"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",,,negative,work
14_laptop_train,823,"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",,,negative,use
14_laptop_train,599,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",,,positive,security
14_laptop_train,1686,Another thing I might add is the battery life is excellent.,,,positive,battery life
14_laptop_train,599,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",,,positive,use
14_laptop_train,2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",,,positive,"configuration of ""extra key"""
14_laptop_train,2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",,,positive,keys
14_laptop_train,2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",,,positive,keyboard
14_laptop_train,2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",,,positive,longevity
14_laptop_train,2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",,,positive,construction quality
14_laptop_train,2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",,,positive,speed
14_laptop_train,911,"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",,,neutral,motherboard
14_laptop_train,2331,) I also tried the touch pad and compared it to other netbooks in the store.,,,neutral,touch pad
14_laptop_train,2091,"One drawback, I wish the keys were backlit.",,,negative,keys
14_laptop_train,1259,"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",,,positive,software
14_laptop_train,2938,I wish the volume could be louder and the mouse didnt break after only a month.,,,negative,volume
14_laptop_train,2385,I've been impressed with the battery life and the performance for such a small amount of memory.,,,positive,performance
14_laptop_train,2385,I've been impressed with the battery life and the performance for such a small amount of memory.,,,positive,battery life
14_laptop_train,2874,"The delivery was fast, and I would not hesitate to purchase this laptop again.",,,positive,delivery
14_laptop_train,1553,"Great battery, speed, display.",,,positive,display
